UF;Zona;Partido;Gênero;Grau de escolaridade;Faixa etária;Quantitativo;Porcentagem (%);qt_nome_social;qt_deficientes;Data de carga
RS;1;AGIR;FEMININO;ANALFABETO;70 a 79 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;1;1;0;1;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;ENSINO MÉDIO COMPLETO;45 a 59 anos;2;0,5;0;0;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;ENSINO MÉDIO COMPLETO;60 a 69 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;ENSINO MÉDIO COMPLETO;Superior a 79 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;SUPERIOR COMPLETO;45 a 59 anos;3;0,375;0;0;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;SUPERIOR COMPLETO;60 a 69 anos;2;0,25;0;0;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;SUPERIOR COMPLETO;70 a 79 anos;2;0,25;0;0;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;SUPERIOR COMPLETO;Superior a 79 anos;1;0,125;0;0;2024-10-04 18:04:53
RS;1;AGIR;FEMININO;SUPERIOR INCOMPLETO;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;ENSINO MÉDIO COMPLETO;60 a 69 anos;2;0,6667;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;ENSINO MÉDIO COMPLETO;70 a 79 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;ENSINO MÉDIO INCOMPLETO;60 a 69 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;LÊ E ESCREVE;45 a 59 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;SUPERIOR COMPLETO;70 a 79 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;AGIR;MASCULINO;SUPERIOR INCOMPLETO;70 a 79 anos;2;1;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;1;0,1667;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;2;0,3333;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;3;0,5;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;ENSINO MÉDIO COMPLETO;25 a 34 anos;2;0,2857;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;ENSINO MÉDIO COMPLETO;35 a 44 anos;1;0,1429;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;ENSINO MÉDIO COMPLETO;45 a 59 anos;3;0,4286;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;ENSINO MÉDIO COMPLETO;60 a 69 anos;1;0,1429;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;2;0,6667;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;1;0,3333;0;0;2024-10-04 18:04:53
